mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,vermicelli upma,1.0 serving,293.0,6.0,18.0,24.0
dinner,betty crocker chocolate chip cookie mix gluten free,4.0 cookie,440.0,4.0,12.0,76.0
dinner,restaurant pulihora,0.5 cup,172.0,3.5,6.5,25.5
dinner,restaurant achari paneer,1.0 serving,381.0,13.0,29.0,12.0
dinner,frozen roti,1.33,199.5,5.32,6.65,33.25
lunch,ching's hakka noodles with veggies and schezwan sauce,0.8 serving,373.6,12.8,7.2,60.0
lunch,filter coffee mocha,1.0 serving,85.0,1.0,1.0,50.0
snack,sunfeast 5 grain digestive,2.0 biscuits,97.0,7.0,4.0,13.0
snack,see's candies assorted,0.5 piece,45.0,0.5,2.5,5.5
snack,harvest snaps,2.0 serving,260.0,10.0,10.0,32.0
