food_item,ingredients,no_of_servings,calories,protein,fats,carbohydrates
millet dosa,"barnyard millet: 1.75,urad dal: 0.875,methi seeds: 1.0,thin poha: 0.5,olive oil: 10.0",20.0,129.95625,4.3,2.875,20.675
coriander chutney,"raw chana dal: 1.0,olive oil: 3.0,peanuts: 2.0,onion: 1.0,tomato: 2.5,coriander leaves: 3.0",6.0,68.91666667,6.75,3.5,2.416666667
half yolk egg,"egg white: 1.0,egg yolk: 0.5",1.0,46.0,4.0,2.0,0.0
roti,multigrain atta: 2.25,9.0,97.5,3.5,0.5,18.0
moong dal khichdi,"barnyard millet: 0.2 cup,yellow moong dal: 0.13 cup,olive oil: 1.0 tsp,cashew piece: 3.0,peanuts: 0.5 tbsp,raw chana dal: 0.4 tbsp,carrots and peas: 0.25 cup,dahi: 0.5 cup",1.0,396.53,15.05,11.63,49.45
berry banana smoothie,"banana: 1.0,berries: 1.5,spinach: 1.0,date: 7.0,greek yoghurt: 0.3,almond milk: 1.7",2.0,246.5,5.7,1.7,52.1
mocha,"oat milk: 0.67,sugar: 3.0,cocoa: 0.67",2.0,66.05,1.34,1.675,28.865
khakra chaat,"tomato: 1.0,onion: 0.125,green capsicum: 0.25,khakra: 2.0,dahi: 0.75",2.0,174.625,10.3125,6.625,18.6875
tava bhindi,"bhindi: 4.5,olive oil: 2.0,garam masala: 0.15,haldi: 0.15,chili powder: 0.15,amchoor: 0.2",2.0,115.0,2.4,4.15,15.525
lemon millet,"olive oil: 1.0 tsp,barnyard millet: 0.25 cup,peanuts: 1.0 tbsp,raw chana dal: 0.5 tbsp",1.0,297.5,8.0,10.5,39.0
chowmein,"rava chowmein: 2.0 serving,soy sauce: 1.0 tbsp,white vinegar: 1.0 tbsp,schezwan stir fry sauce: 2.0 tbsp,red bell pepper: 0.75,green capsicum: 0.75,olive oil: 4.0 tsp,onion: 0.75,red chilli sauce: 0.33 tbsp,green chilli sauce: 0.33 tbsp",3.0,351.1966667,11.25,5.333333333,62.13333333
apple banana smoothie,"flaxseed powder: 0.6,banana: 1.0,apple: 1.0,spinach: 0.6,date: 5.0,almond milk: 1.2,walnuts: 1.5",2.0,233.45,2.15,5.1,45.25
masoor dal khichdi,"masoor dal: 0.08,barnyard millet: 0.25,olive oil: 1.5,carrots and peas: 0.25,raw chana dal: 0.5,peanuts: 1.0,cashews: 1.0",1.0,436.92,13.36,16.66,54.55
millet pongal,"barnyard millet: 0.18,olive oil: 1.5,cashews: 1.0,moong dal: 0.15,mango pickle: 2.0",1.0,351.73,8.71,15.59,40.28
black coffee,"almond milk: 0.125,sugar: 1.0",1.0,18.75,0.125,0.25,15.125
rava upma,"semolina: 0.25 cup,olive oil: 1.0 tsp,cashews: 1.0 tbsp,peanuts: 0.5 tbsp,raw chana dal: 0.33 tbsp",1.0,276.14,7.58,10.58,34.74
apple smoothie,"almond milk: 1.2,date: 6.0,spinach: 1.0,apple: 1.0,walnuts: 2.0,flaxseed powder: 1.0",2.0,205.5,2.1,6.7,33.6
indian milk tea,"oat milk: 0.67,sugar: 3.0",2.0,62.7,1.005,1.675,27.86
egg fried millet,"barnyard millet: 0.833,olive oil: 4.5,green capsicum: 0.33,red bell pepper: 0.4,onion: 0.33,soy sauce: 1.0,fried egg: 2.0,green chili sauce: 0.5,red chili sauce: 0.5,schezwan: 1.7,vinegar: 1.0",2.0,555.429,18.503,18.332,70.829
aloo paratha,"potato: 2.0,roti: 10.0,olive oil: 10.0",8.0,245.6,5.4,9.0,37.6
beans sabji,"green beans: 1.0 cup,olive oil: 2.0 tsp,idli podi: 2.0 tbsp",2.0,96.0,7.0,7.0,29.5
brinjal sabji,"eggplant: 1.2,olive oil: 2.5,tamarind paste: 1.0,chili powder: 0.15,haldi: 0.15,podi: 4.0",3.0,154.24,3.58,4.06,22.88
